"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","27","29","1","59.725346","0","29"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","16","18","1","52.788162","0","18"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","2.817620","0","5"
"/Game/Dresses/TopSkirt/FABRIC_1_FRONT_27641.FABRIC_1_FRONT_27641","0","33","33","1","114.176910","0","33"
"/Game/Assets/Shops/FastFashion/M_Blackrick_001.M_Blackrick_001","0","21","21","1","0.000000","0","21"
"/Game/Assets/Shops/OrganicShop/StaticMeshes/M_Blackrick.M_Blackrick","0","12","12","1","0.000000","0","12"
"/Game/Dresses/BlackBackless/FABRIC_2_FRONT_100522.FABRIC_2_FRONT_100522","0","33","33","1","0.000000","0","33"
"/Game/Assets/Shops/LuxuryShop/StaticMeshes/M_Blackrick.M_Blackrick","0","12","12","1","0.000000","0","12"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","0","12","12","1","38.507229","0","12"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","4.452044","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","25","27","1","15.606024","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","25","27","1","16.192423","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","5.312608","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","5.006254","0","13"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","21","21","1","84.462814","0","21"
"/Game/Assets/Shops/VintageShop/Mirror/StaticMeshes/VintageShopPainting4_Mat.VintageShopPainting4_Mat","0","12","12","1","45.386112","0","12"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","2.365873","0","2"
"/Game/Dresses/ParrotDresss/FABRIC_2_FRONT_11278.FABRIC_2_FRONT_11278","0","33","33","1","125.530746","0","33"
"/Game/Dresses/ParrotDresss/FABRIC_3_FRONT_2965757.FABRIC_3_FRONT_2965757","0","33","33","1","0.000000","0","33"
"/Game/Dresses/BlackBackless/defaultMat10.defaultMat10","0","27","27","1","107.135307","0","27"
"/Game/Dresses/Flowe_Dress/FABRIC_1_FRONT_1472.FABRIC_1_FRONT_1472","0","45","45","1","169.870087","0","45"
"/Game/Dresses/Flowe_Dress/FABRIC_2_FRONT_2620.FABRIC_2_FRONT_2620","0","45","45","1","0.000000","0","45"
"/Game/Assets/PlaticDisplayDressInfo/Material_001.Material_001","0","21","21","1","74.852867","0","21"
"/Fab/Materials/Standard/M_MS_Base.M_MS_Base","0","21","21","1","84.763588","42","105"
"/Game/Dresses/MDBlackDress/MDBlackDress_metalness_981_Mat.MDBlackDress_metalness_981_Mat","0","36","36","1","90.166237","0","36"
"/Game/Dresses/TopSkirt/Silk_Faille_FRONT_25301.Silk_Faille_FRONT_25301","0","33","33","1","125.833839","0","33"
"/Game/Dresses/LilysDress_Still/Rib_1X1_486gsm_FRONT_27208113.Rib_1X1_486gsm_FRONT_27208113","0","45","45","1","174.282776","0","45"
"/Game/Assets/Shops/VintageShop/Mirror/StaticMeshes/VintageShopPainting2_Mat.VintageShopPainting2_Mat","0","27","29","1","56.131584","0","29"
"/USDCore/Materials/DisplayColor.DisplayColor","0","48","48","1","177.938019","0","48"
"/Game/Dresses/Hanger/Material9752.Material9752","0","21","21","1","0.000000","0","21"
"/Game/Dresses/Hanger/Material9755.Material9755","0","21","21","1","0.000000","0","21"
"/USDCore/Materials/UsdPreviewSurface.UsdPreviewSurface","0","235","240","3","905.160767","0","240"
"/Fab/Materials/Standard/M_MS_Base_Fuzz.M_MS_Base_Fuzz","0","21","21","1","74.430351","21","63"
"/InterchangeAssets/gltf/M_Default.M_Default","0","874","936","25","3341.024414","0","936"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","386","412","10","1665.982056","0","412"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","192","192","4","1100.043213","0","192"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","69.216522","0","100"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","65","65","1","150.020187","21","107"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","4.892342","0","6"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","1.842620","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","0.980545","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.091213","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","25","27","1","57.896824","0","27"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","30","32","1","105.176018","0","32"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","24","24","1","89.047722","0","24"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","4.064065","0","6"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","5.179926","0","9"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","60","63","1","111.499649","0","63"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","60","63","1","0.000000","0","63"
"/Game/Characters/MannequinsXR/Materials/M_Mannequin.M_Mannequin","0","52","56","2","235.826355","0","56"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","234","244","6","759.637390","0","244"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","92","98","1","164.810974","0","98"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.011963","0","3"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","11.468151","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","75.003189","0","24"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","0.829600","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","0.897920","0","3"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","234","244","6","937.901367","0","244"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","17","17","1","4.474686","0","17"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","0","9","9","1","5.450426","0","9"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","0","15","15","1","9.216664","0","15"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","33","33","1","124.687149","0","33"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","33","33","1","131.169891","0","33"
"/Game/Global/DemoRoom/Materials/M_Metal.M_Metal","0","42","42","1","181.461563","0","42"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","103.074272","0","24"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","6.603150","0","10"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","54","54","1","73.717499","0","54"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","46","2","33.021671","0","46"
"/Fab/Materials/Standard/M_MS_Decal.M_MS_Decal","0","21","21","1","38.435772","0","21"
"/Game/Dresses/LilysDress_Still/Cotton_Stretch_Velvet_FRONT_4974839.Cotton_Stretch_Velvet_FRONT_4974839","0","33","33","1","120.598465","0","33"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","5.542787","0","17"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","1.323744","0","5"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","0","12","12","1","37.785847","0","12"
"/Game/Global/Materials/M_Button_Emissive.M_Button_Emissive","0","2","2","1","0.973554","0","2"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","0","2","2","1","1.204199","0","2"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","0","15","15","1","7.126173","0","15"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","1.210950","0","5"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","45","45","1","82.901543","0","45"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","54","58","1","125.406876","0","58"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","80","84","1","202.246033","0","84"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","6.735564","0","10"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","6.435275","0","9"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","5.741639","0","9"
"/Game/Global/Materials/M_Button.M_Button","0","21","21","1","102.303619","0","21"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","87","1","183.833206","0","87"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","698","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","123","1","233.262192","0","123"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","92","98","1","190.083420","0","98"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","3.567662","0","7"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","417.579468","0","100"
"Globals","49","9293","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","5","5","1","2.909715","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","20","22","1","58.233681","0","22"
"","49","64","0","1","0.000000","65","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","8","9","1","12.436163","0","9"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","8","8","1","11.078515","0","8"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","31","33","1","41.451893","0","33"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","6","6","1","3.030216","0","6"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","6","6","1","13.039838","0","6"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","5","5","1","2.219985","0","5"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","34","36","1","72.149696","0","36"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","28","28","1","70.265022","0","28"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","104","104","1","0.000000","0","104"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","8","9","1","6.879356","0","9"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","11","12","1","7.689657","0","12"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","70","73","1","127.489639","0","73"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","108","114","1","133.624893","0","114"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","70","73","1","0.000000","0","73"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","19","21","1","18.010681","0","21"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","6","6","1","3.294066","0","6"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","32","32","1","73.515617","0","32"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","6","6","1","5.018098","0","6"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","16","16","1","0.000000","0","16"
"/Engine/VREditor/TransformGizmo/Main.Main","49","6","6","1","4.900421","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","29","29","1","10.897918","0","29"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","60","60","1","207.796524","0","60"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","60","60","1","221.490341","0","60"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","32","32","1","67.147491","0","32"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","15","15","1","9.030950","0","15"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","88","88","1","188.945435","0","88"
"/Game/Dresses/Black_Red/Red.Red","49","28","28","1","0.000000","0","28"
"/Game/Assets/SellfCheckOut/StaticMeshes/White.White","49","28","28","1","0.000000","0","28"
"/Game/StarterContent/Materials/M_Glass.M_Glass","49","36","36","1","0.000000","0","36"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","49","52","52","1","62.966972","0","52"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","11","12","1","8.537078","0","12"
"/ControlRig/M_Manip.M_Manip","49","11","12","1","7.666363","0","12"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","56","62","2","29.720253","0","62"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","108","114","1","125.568802","0","114"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","105","105","1","158.149490","0","105"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","4.106324","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","102","102","1","75.619743","0","102"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","155","155","1","282.938721","0","155"
"/Game/Global/Materials/M_Button.M_Button","49","48","48","1","141.288528","0","48"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","1393","1416","1","1544.329590","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","33","35","1","0.000000","0","35"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","5","5","1","4.119523","0","5"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","0.000000","0","7"
"/OpenXR/Devices/M_XRController.M_XRController","49","48","48","3","100.803406","0","48"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","67","72","6","28.329367","0","72"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","16","16","1","13.016521","0","16"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","0.000000","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","29","31","1","0.000000","0","31"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","29","31","1","0.000000","0","31"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","0.000000","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","0.000000","0","15"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","66","70","1","95.687561","0","70"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","98","102","1","163.049896","0","102"
"/Game/Assets/PlaticDisplayDressInfo/Material.Material","49","28","28","1","0.000000","0","28"
"/Game/Assets/Shops/VintageShop/StaticMeshes/M_Blackrick.M_Blackrick","49","28","28","1","0.000000","0","28"
"/Game/Assets/Shops/RentADress/StaticMeshes/M_Blackrick.M_Blackrick","49","16","16","1","0.000000","0","16"
"/Game/Dresses/Burgendy_Leather_Dress/FABRIC_2_FRONT_100522.FABRIC_2_FRONT_100522","49","40","40","1","0.000000","0","40"
"/Game/Dresses/BlackBackless/SilkBrown.SilkBrown","49","40","40","1","0.000000","0","40"
"/Game/Assets/SellfCheckOut/StaticMeshes/White_Plastic.White_Plastic","49","16","16","1","0.000000","0","16"
"/Game/Assets/SellfCheckOut/StaticMeshes/Black_plastic.Black_plastic","49","28","28","1","0.000000","0","28"
"/Game/VRTemplate/Materials/M_VRCursor.M_VRCursor","49","5","5","1","1.630665","0","5"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","49","16","16","1","19.653099","0","16"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","49","24","24","1","10.409837","0","24"
"/Game/Global/Materials/M_Button_Emissive.M_Button_Emissive","49","8","8","1","8.110911","0","8"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","0.984115","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","3.500606","0","7"
"/Game/Dresses/TopSkirt/FABRIC_1_FRONT_27641.FABRIC_1_FRONT_27641","49","40","40","1","0.000000","0","40"
"/Game/Assets/Shops/FastFashion/M_Blackrick_001.M_Blackrick_001","49","28","28","1","0.000000","0","28"
"/Game/Assets/Shops/OrganicShop/StaticMeshes/M_Blackrick.M_Blackrick","49","16","16","1","0.000000","0","16"
"/Game/Dresses/BlackBackless/FABRIC_2_FRONT_100522.FABRIC_2_FRONT_100522","49","40","40","1","0.000000","0","40"
"/Game/Assets/Shops/LuxuryShop/StaticMeshes/M_Blackrick.M_Blackrick","49","16","16","1","0.000000","0","16"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","49","16","16","1","0.000000","0","16"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","29","29","1","9.489923","0","29"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","49","28","80","1","60.067707","80","136"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","49","28","28","1","0.000000","0","28"
"/Game/Assets/Shops/VintageShop/Mirror/StaticMeshes/VintageShopPainting4_Mat.VintageShopPainting4_Mat","49","16","16","1","0.000000","0","16"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","5","5","1","0.000000","0","5"
"/Game/Dresses/ParrotDresss/FABRIC_2_FRONT_11278.FABRIC_2_FRONT_11278","49","40","40","1","0.000000","0","40"
"/Game/Dresses/ParrotDresss/FABRIC_3_FRONT_2965757.FABRIC_3_FRONT_2965757","49","40","40","1","0.000000","0","40"
"/Game/Dresses/BlackBackless/defaultMat10.defaultMat10","49","34","34","1","0.000000","0","34"
"/Game/Dresses/Flowe_Dress/FABRIC_1_FRONT_1472.FABRIC_1_FRONT_1472","49","52","52","1","0.000000","0","52"
"/Game/Dresses/Flowe_Dress/FABRIC_2_FRONT_2620.FABRIC_2_FRONT_2620","49","52","52","1","0.000000","0","52"
"/Game/Assets/PlaticDisplayDressInfo/Material_001.Material_001","49","28","28","1","0.000000","0","28"
"/Fab/Materials/Standard/M_MS_Base.M_MS_Base","49","28","28","1","0.000000","56","140"
"/Game/Dresses/MDBlackDress/MDBlackDress_metalness_981_Mat.MDBlackDress_metalness_981_Mat","49","40","40","1","0.000000","0","40"
"/Game/Dresses/TopSkirt/Silk_Faille_FRONT_25301.Silk_Faille_FRONT_25301","49","40","40","1","0.000000","0","40"
"/Game/Dresses/LilysDress_Still/Rib_1X1_486gsm_FRONT_27208113.Rib_1X1_486gsm_FRONT_27208113","49","52","52","1","0.000000","0","52"
"/Game/Dresses/LilysDress_Still/Cotton_Stretch_Velvet_FRONT_4974839.Cotton_Stretch_Velvet_FRONT_4974839","49","40","40","1","77.209023","0","40"
"/Game/Assets/Shops/VintageShop/Mirror/StaticMeshes/VintageShopPainting2_Mat.VintageShopPainting2_Mat","49","33","35","1","0.000000","0","35"
"/USDCore/Materials/DisplayColor.DisplayColor","49","59","59","1","0.000000","0","59"
"/Game/Dresses/Hanger/Material9752.Material9752","49","28","28","1","0.000000","0","28"
"/Game/Dresses/Hanger/Material9755.Material9755","49","28","28","1","0.000000","0","28"
"/Fab/Materials/Standard/M_MS_Decal.M_MS_Decal","49","26","26","1","20.878159","0","26"
"/USDCore/Materials/UsdPreviewSurface.UsdPreviewSurface","49","290","295","3","0.000000","0","295"
"/Fab/Materials/Standard/M_MS_Base_Fuzz.M_MS_Base_Fuzz","49","28","28","1","0.000000","28","84"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","178","188","6","251.088928","0","188"
"/Game/Characters/MannequinsXR/Materials/M_Mannequin.M_Mannequin","49","60","64","2","111.269096","0","64"
"/Game/Global/DemoRoom/Materials/M_Metal.M_Metal","49","76","76","1","217.507080","0","76"
"/InterchangeAssets/gltf/M_Default.M_Default","49","982","1044","25","467.283630","144","1408"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","434","460","10","498.172424","0","460"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","220","220","4","139.352509","0","220"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","266","276","6","559.057007","0","276"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","266","276","6","477.840088","0","276"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","49","23","23","1","10.482824","0","23"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","49","17","17","1","8.316051","0","17"
